model	trained_on	no	low	high	var
1	CNN	No noise	0.9539	0.8662	0.0664	0.6446
6	CNN	Low noise	0.9481	0.9472	0.4844	0.9103
11	CNN	High noise	0.0124	0.0109	0.0132	0.0107
16	CNN	Variable noise	0.9312	0.9356	0.8147	0.9254
2	DNN	No noise	0.8971	0.0715	0.0134	0.1502
17	DNN	Variable noise	0.7508	0.7239	0.3949	0.6686
7	DNN	Low noise	0.722	0.7342	0.3695	0.6556
12	DNN	High noise	0.0162	0.0119	0.0132	0.0128
3	comboNN	No noise	0.9616	0.8289	0.0502	0.5219
8	comboNN	Low noise	0.9511	0.955	0.5537	0.9246
18	comboNN	Variable noise	0.9446	0.9516	0.832	0.9394
13	comboNN	High noise	0.8548	0.8664	0.8033	0.8605
0	miniNN	No noise	0.7926	0.2037	0.0374	0.204
5	miniNN	Low noise	0.7298	0.7219	0.2062	0.5764
10	miniNN	High noise	0.6964	0.7081	0.5811	0.6958
15	miniNN	Variable noise	0.7985	0.7548	0.4604	0.6863
9	ocNN	Low noise	0.9592	0.9662	0.5134	0.9277
4	ocNN	No noise	0.9625	0.9294	0.1073	0.715
14	ocNN	High noise	0.9059	0.9182	0.8873	0.9175
19	ocNN	Variable noise	0.9678	0.9647	0.8866	0.9603
