	trained_model	no	low	high	var
11	CNN_high	0.7052	0.7012	0.668	0.7084
6	CNN_low	0.9388	0.9324	0.485	0.8792
1	CNN_no	0.9504	0.7706	0.0476	0.5642
16	CNN_var	0.9418	0.9404	0.849	0.9314
12	DNN_high	0.0114	0.0138	0.0146	0.0112
7	DNN_low	0.4906	0.5236	0.129	0.439
2	DNN_no	0.8938	0.073	0.016	0.1538
17	DNN_var	0.7764	0.7642	0.5262	0.7016
13	comboNN_high	0.8374	0.8438	0.7994	0.8486
8	comboNN_low	0.9342	0.9482	0.5308	0.9022
3	comboNN_no	0.9608	0.821	0.0612	0.5412
18	comboNN_var	0.9538	0.9524	0.834	0.9328
10	miniNN_high	0.6926	0.7064	0.5874	0.6918
5	miniNN_low	0.7324	0.7356	0.1872	0.5882
0	miniNN_no	0.8014	0.1514	0.0092	0.1646
15	miniNN_var	0.7966	0.7512	0.4672	0.692
14	ocNN_high	0.0114	0.0138	0.0146	0.0112
9	ocNN_low	0.9646	0.964	0.4352	0.9144
4	ocNN_no	0.9648	0.926	0.0296	0.5762
19	ocNN_var	0.9634	0.9632	0.884	0.9534
